Actual,Predicted,Confidence
AFIB,Normal,0.6427
AFIB,Normal,0.6186
AFIB,Normal,0.6163
AFIB,Normal,0.5865
AFIB,Normal,0.6356
AFIB,Normal,0.6231
AFIB,Normal,0.6614
AFIB,Normal,0.6706
AFIB,Normal,0.6317
AFIB,Normal,0.6406
AFIB,Normal,0.6516
AFIB,Normal,0.641
AFIB,Normal,0.6375
AFIB,Normal,0.6271
AFIB,Normal,0.6212
AFIB,Normal,0.5904
AFIB,Normal,0.6037
AFIB,Normal,0.6268
AFIB,Normal,0.6378
AFIB,Normal,0.5721
AFIB,Normal,0.5708
AFIB,Normal,0.6664
AFIB,Normal,0.6542
AFIB,Normal,0.6566
AFIB,Normal,0.6497
AFIB,Normal,0.6332
AFIB,Normal,0.6267
AFIB,Normal,0.626
AFIB,Normal,0.6547
AFIB,Normal,0.6473
AFIB,Normal,0.6431
AFIB,Normal,0.6364
AFIB,Normal,0.6615
AFIB,Normal,0.661
AFIB,Normal,0.6405
AFIB,Normal,0.6098
AFIB,Normal,0.6072
AFIB,Normal,0.636
AFIB,Normal,0.5686
AFIB,Normal,0.5728
AFIB,Normal,0.6489
AFIB,Normal,0.6476
AFIB,Normal,0.6345
AFIB,Normal,0.6459
AFIB,Normal,0.6411
AFIB,Normal,0.6413
AFIB,Normal,0.654
AFIB,Normal,0.6577
AFIB,Normal,0.6489
AFIB,Normal,0.6672
AFIB,Normal,0.6667
AFIB,Normal,0.6188
AFIB,Normal,0.6429
AFIB,Normal,0.676
AFIB,Normal,0.6385
AFIB,Normal,0.6371
AFIB,Normal,0.6464
AFIB,Normal,0.6692
AFIB,Normal,0.6727
AFIB,Normal,0.6512
AFIB,Normal,0.6448
AFIB,Normal,0.6331
AFIB,Normal,0.6178
AFIB,Normal,0.5733
AFIB,Normal,0.6558
AFIB,Normal,0.6534
AFIB,Normal,0.6462
AFIB,Normal,0.6436
AFIB,Normal,0.6568
AFIB,Normal,0.6398
AFIB,Normal,0.6218
AFIB,Normal,0.6444
AFIB,Normal,0.6692
AFIB,Normal,0.6705
AFIB,Normal,0.636
AFIB,Normal,0.6388
AFIB,Normal,0.6783
AFIB,Normal,0.6834
AFIB,Normal,0.6567
AFIB,Normal,0.6351
AFIB,Normal,0.6185
AFIB,Normal,0.6465
AFIB,Normal,0.6599
AFIB,Normal,0.6399
AFIB,Normal,0.6229
AFIB,Normal,0.6508
AFIB,Normal,0.6274
AFIB,Normal,0.6213
AFIB,Normal,0.6586
AFIB,Normal,0.6248
AFIB,Normal,0.6195
AFIB,Normal,0.6245
AFIB,Normal,0.5783
AFIB,Normal,0.56
AFIB,Normal,0.6481
AFIB,Normal,0.6469
AFIB,Normal,0.6523
AFIB,Normal,0.6452
AFIB,Normal,0.5733
AFIB,Normal,0.5916
AFIB,Normal,0.6768
AFIB,Normal,0.6674
AFIB,Normal,0.6539
AFIB,Normal,0.615
AFIB,Normal,0.6163
AFIB,Normal,0.5732
AFIB,Normal,0.568
AFIB,Normal,0.614
AFIB,Normal,0.624
AFIB,Normal,0.6462
AFIB,Normal,0.6343
AFIB,Normal,0.5846
AFIB,Normal,0.6387
AFIB,Normal,0.6593
AFIB,Normal,0.6679
AFIB,Normal,0.6503
AFIB,Normal,0.6566
AFIB,Normal,0.6672
AFIB,Normal,0.6595
AFIB,Normal,0.6444
AFIB,Normal,0.6521
AFIB,Normal,0.6437
AFIB,Normal,0.6386
AFIB,Normal,0.5747
AFIB,Normal,0.6423
AFIB,Normal,0.6595
AFIB,Normal,0.6359
AFIB,Normal,0.6318
AFIB,Normal,0.6436
AFIB,Normal,0.6445
AFIB,Normal,0.6296
AFIB,Normal,0.6326
AFIB,Normal,0.6646
AFIB,Normal,0.6424
AFIB,Normal,0.5821
AFIB,Normal,0.5584
AFIB,Normal,0.6408
AFIB,Normal,0.6226
AFIB,Normal,0.6406
AFIB,Normal,0.6453
AFIB,Normal,0.635
AFIB,Normal,0.6464
AFIB,Normal,0.6439
AFIB,Normal,0.6563
AFIB,Normal,0.654
AFIB,Normal,0.6613
AFIB,Normal,0.6542
AFIB,Normal,0.6317
AFIB,Normal,0.6217
AFIB,Normal,0.626
AFIB,Normal,0.6338
AFIB,Normal,0.6357
AFIB,Normal,0.639
AFIB,Normal,0.642
AFIB,Normal,0.6594
AFIB,Normal,0.6526
AFIB,Normal,0.6437
AFIB,Normal,0.6473
AFIB,Normal,0.5694
AFIB,Normal,0.5826
AFIB,Normal,0.6347
AFIB,Normal,0.6335
AFIB,Normal,0.6677
AFIB,Normal,0.652
AFIB,Normal,0.6249
AFIB,Normal,0.5783
AFIB,Normal,0.5832
AFIB,Normal,0.5942
AFIB,Normal,0.6421
AFIB,Normal,0.6408
AFIB,Normal,0.6051
AFIB,Normal,0.6156
AFIB,Normal,0.6427
AFIB,Normal,0.6368
AFIB,Normal,0.6319
AFIB,Normal,0.6161
AFIB,Normal,0.6426
AFIB,Normal,0.63
AFIB,Normal,0.6336
AFIB,Normal,0.6504
AFIB,Normal,0.6637
AFIB,Normal,0.6595
AFIB,Normal,0.6442
AFIB,Normal,0.5755
AFIB,Normal,0.6246
AFIB,Normal,0.6495
AFIB,Normal,0.6563
AFIB,Normal,0.6386
AFIB,Normal,0.6534
AFIB,Normal,0.6501
AFIB,Normal,0.6492
AFIB,Normal,0.6623
AFIB,Normal,0.6501
AFIB,Normal,0.6017
AFIB,Normal,0.5837
AFIB,Normal,0.6436
AFIB,Normal,0.6899
AFIB,Normal,0.6116
AFIB,Normal,0.6513
AFIB,Normal,0.6385
AFIB,Normal,0.6534
AFIB,Normal,0.6577
AFIB,Normal,0.6501
AFIB,Normal,0.6497
AFIB,Normal,0.6352
AFIB,Normal,0.6427
AFIB,Normal,0.6299
AFIB,Normal,0.6136
AFIB,Normal,0.6208
AFIB,Normal,0.6684
AFIB,Normal,0.6528
AFIB,Normal,0.6416
AFIB,Normal,0.6375
AFIB,Normal,0.6236
AFIB,Normal,0.6326
AFIB,Normal,0.6363
AFIB,Normal,0.6508
AFIB,Normal,0.645
AFIB,Normal,0.5952
AFIB,Normal,0.5897
AFIB,Normal,0.6604
AFIB,Normal,0.685
AFIB,Normal,0.6459
AFIB,Normal,0.6372
AFIB,Normal,0.6473
AFIB,Normal,0.608
AFIB,Normal,0.6166
AFIB,Normal,0.6529
AFIB,Normal,0.6572
AFIB,Normal,0.6301
AFIB,Normal,0.5974
AFIB,Normal,0.6153
AFIB,Normal,0.644
AFIB,Normal,0.6063
AFIB,Normal,0.6305
AFIB,Normal,0.6506
AFIB,Normal,0.6487
AFIB,Normal,0.5832
AFIB,Normal,0.5529
AFIB,Normal,0.644
AFIB,Normal,0.6628
AFIB,Normal,0.6316
AFIB,Normal,0.6324
AFIB,Normal,0.607
AFIB,Normal,0.6462
AFIB,Normal,0.6429
AFIB,Normal,0.6349
AFIB,Normal,0.6388
AFIB,Normal,0.6457
AFIB,Normal,0.6349
AFIB,Normal,0.6407
AFIB,Normal,0.6586
AFIB,Normal,0.6252
AFIB,Normal,0.6351
AFIB,Normal,0.6038
AFIB,Normal,0.5785
AFIB,Normal,0.6546
AFIB,Normal,0.6462
AFIB,Normal,0.6568
AFIB,Normal,0.6619
AFIB,Normal,0.6617
AFIB,Normal,0.6521
AFIB,Normal,0.6353
AFIB,Normal,0.6348
AFIB,Normal,0.6367
AFIB,Normal,0.6207
AFIB,Normal,0.5838
AFIB,Normal,0.5738
AFIB,Normal,0.6798
AFIB,Normal,0.6448
AFIB,Normal,0.6341
AFIB,Normal,0.6358
AFIB,Normal,0.6201
AFIB,Normal,0.6209
AFIB,Normal,0.636
AFIB,Normal,0.6394
AFIB,Normal,0.6463
AFIB,Normal,0.6379
AFIB,Normal,0.6029
AFIB,Normal,0.5928
AFIB,Normal,0.6363
AFIB,Normal,0.6503
AFIB,Normal,0.642
AFIB,Normal,0.6409
AFIB,Normal,0.576
AFIB,Normal,0.5801
AFIB,Normal,0.631
AFIB,Normal,0.6184
AFIB,Normal,0.6481
AFIB,Normal,0.6428
AFIB,Normal,0.5927
AFIB,Normal,0.605
AFIB,Normal,0.641
AFIB,Normal,0.6199
AFIB,Normal,0.6412
AFIB,Normal,0.6273
AFIB,Normal,0.6413
AFIB,Normal,0.6554
AFIB,Normal,0.5796
AFIB,Normal,0.5356
AFIB,Normal,0.5426
AFIB,Normal,0.6403
AFIB,Normal,0.6062
AFIB,Normal,0.5958
AFIB,Normal,0.638
AFIB,Normal,0.6432
AFIB,Normal,0.6485
AFIB,Normal,0.6363
AFIB,Normal,0.6555
AFIB,Normal,0.6323
AFIB,Normal,0.6345
AFIB,Normal,0.6525
AFIB,Normal,0.6565
AFIB,Normal,0.6634
AFIB,Normal,0.6416
AFIB,Normal,0.6
AFIB,Normal,0.6173
AFIB,Normal,0.634
AFIB,Normal,0.6392
AFIB,Normal,0.6269
AFIB,Normal,0.6378
AFIB,Normal,0.6515
AFIB,Normal,0.6593
AFIB,Normal,0.6584
AFIB,Normal,0.661
AFIB,Normal,0.6154
AFIB,Normal,0.5966
AFIB,Normal,0.5649
AFIB,Normal,0.685
AFIB,Normal,0.6262
AFIB,Normal,0.6394
AFIB,Normal,0.6446
AFIB,Normal,0.6312
AFIB,Normal,0.6303
AFIB,Normal,0.6275
AFIB,Normal,0.6381
AFIB,Normal,0.6475
AFIB,Normal,0.6473
AFIB,Normal,0.6316
AFIB,Normal,0.602
AFIB,Normal,0.6619
AFIB,Normal,0.6649
AFIB,Normal,0.6463
AFIB,Normal,0.5882
AFIB,Normal,0.5941
AFIB,Normal,0.6557
AFIB,Normal,0.6423
AFIB,Normal,0.6498
AFIB,Normal,0.665
AFIB,Normal,0.6551
AFIB,Normal,0.6358
AFIB,Normal,0.6417
AFIB,Normal,0.6396
AFIB,Normal,0.6244
AFIB,Normal,0.6189
AFIB,Normal,0.6445
AFIB,Normal,0.6416
AFIB,Normal,0.6337
AFIB,Normal,0.5555
AFIB,Normal,0.548
AFIB,Normal,0.6149
AFIB,Normal,0.636
AFIB,Normal,0.6146
AFIB,Normal,0.6086
AFIB,Normal,0.6361
AFIB,Normal,0.6434
AFIB,Normal,0.6584
AFIB,Normal,0.6528
AFIB,Normal,0.6071
AFIB,Normal,0.5703
AFIB,Normal,0.5938
AFIB,Normal,0.6358
AFIB,Normal,0.6472
AFIB,Normal,0.6471
AFIB,Normal,0.6275
AFIB,Normal,0.5633
AFIB,Normal,0.6397
AFIB,Normal,0.6612
AFIB,Normal,0.651
AFIB,Normal,0.6404
AFIB,Normal,0.628
AFIB,Normal,0.6465
AFIB,Normal,0.6646
AFIB,Normal,0.6699
AFIB,Normal,0.6769
AFIB,Normal,0.6737
AFIB,Normal,0.6259
AFIB,Normal,0.6041
AFIB,Normal,0.6204
AFIB,Normal,0.6318
AFIB,Normal,0.6638
AFIB,Normal,0.6563
AFIB,Normal,0.6357
AFIB,Normal,0.6443
AFIB,Normal,0.6454
AFIB,Normal,0.6436
AFIB,Normal,0.6659
AFIB,Normal,0.6501
AFIB,Normal,0.5908
AFIB,Normal,0.5382
AFIB,Normal,0.6265
AFIB,Normal,0.6449
AFIB,Normal,0.6095
AFIB,Normal,0.5882
AFIB,Normal,0.6336
AFIB,Normal,0.6398
AFIB,Normal,0.6384
AFIB,Normal,0.6483
AFIB,Normal,0.6483
AFIB,Normal,0.6405
AFIB,Normal,0.6362
AFIB,Normal,0.6175
AFIB,Normal,0.6264
AFIB,Normal,0.6416
AFIB,Normal,0.6462
AFIB,Normal,0.5731
AFIB,Normal,0.5603
AFIB,Normal,0.6341
AFIB,Normal,0.6263
AFIB,Normal,0.6282
AFIB,Normal,0.6306
AFIB,Normal,0.6616
AFIB,Normal,0.6217
AFIB,Normal,0.6264
AFIB,Normal,0.6493
AFIB,Normal,0.6149
AFIB,Normal,0.6043
AFIB,Normal,0.6228
AFIB,Normal,0.645
AFIB,Normal,0.6402
AFIB,Normal,0.6371
AFIB,Normal,0.606
AFIB,Normal,0.5601
AFIB,Normal,0.5485
AFIB,Normal,0.6115
AFIB,Normal,0.6156
AFIB,Normal,0.6624
AFIB,Normal,0.6501
AFIB,Normal,0.6172
AFIB,Normal,0.6404
AFIB,Normal,0.6331
AFIB,Normal,0.6371
AFIB,Normal,0.6354
AFIB,Normal,0.6335
AFIB,Normal,0.6556
AFIB,Normal,0.6514
AFIB,Normal,0.641
AFIB,Normal,0.6078
AFIB,Normal,0.6392
AFIB,Normal,0.6726
AFIB,Normal,0.6633
AFIB,Normal,0.6366
AFIB,Normal,0.6287
AFIB,Normal,0.6528
AFIB,Normal,0.6632
AFIB,Normal,0.646
AFIB,Normal,0.6327
AFIB,Normal,0.5993
AFIB,Normal,0.5928
AFIB,Normal,0.6058
AFIB,Normal,0.63
AFIB,Normal,0.5972
AFIB,Normal,0.6443
AFIB,Normal,0.6378
AFIB,Normal,0.6352
AFIB,Normal,0.6419
AFIB,Normal,0.6363
AFIB,Normal,0.6414
AFIB,Normal,0.6354
AFIB,Normal,0.646
AFIB,Normal,0.6439
AFIB,Normal,0.6051
AFIB,Normal,0.6194
AFIB,Normal,0.656
AFIB,Normal,0.6408
AFIB,Normal,0.6568
AFIB,Normal,0.6618
AFIB,Normal,0.6332
AFIB,Normal,0.6464
AFIB,Normal,0.6383
AFIB,Normal,0.6345
AFIB,Normal,0.6402
AFIB,Normal,0.6031
AFIB,Normal,0.6036
AFIB,Normal,0.6963
AFIB,Normal,0.6768
AFIB,Normal,0.6451
AFIB,Normal,0.6364
AFIB,Normal,0.6436
AFIB,Normal,0.6403
AFIB,Normal,0.6715
AFIB,Normal,0.5828
AFIB,Normal,0.5861
AFIB,Normal,0.649
AFIB,Normal,0.5984
AFIB,Normal,0.6097
AFIB,Normal,0.6706
AFIB,Normal,0.6334
AFIB,Normal,0.6216
AFIB,Normal,0.6025
AFIB,Normal,0.551
AFIB,Normal,0.6406
AFIB,Normal,0.6678
AFIB,Normal,0.6598
AFIB,Normal,0.6461
AFIB,Normal,0.6513
AFIB,Normal,0.6245
AFIB,Normal,0.5932
AFIB,Normal,0.6278
AFIB,Normal,0.6316
AFIB,Normal,0.6438
AFIB,Normal,0.6517
AFIB,Normal,0.6468
AFIB,Normal,0.6575
AFIB,Normal,0.6462
AFIB,Normal,0.6449
AFIB,Normal,0.6442
AFIB,Normal,0.6326
AFIB,Normal,0.5896
AFIB,Normal,0.5524
AFIB,Normal,0.5968
AFIB,Normal,0.6437
AFIB,Normal,0.6441
AFIB,Normal,0.6459
AFIB,Normal,0.6566
AFIB,Normal,0.6532
AFIB,Normal,0.6518
AFIB,Normal,0.6443
AFIB,Normal,0.6285
AFIB,Normal,0.6168
AFIB,Normal,0.5835
AFIB,Normal,0.5538
AFIB,Normal,0.6327
AFIB,Normal,0.6522
AFIB,Normal,0.6242
AFIB,Normal,0.64
AFIB,Normal,0.6465
AFIB,Normal,0.6514
AFIB,Normal,0.656
AFIB,Normal,0.6503
AFIB,Normal,0.6496
AFIB,Normal,0.6458
AFIB,Normal,0.632
AFIB,Normal,0.5679
AFIB,Normal,0.5927
AFIB,Normal,0.5926
AFIB,Normal,0.5769
AFIB,Normal,0.6388
AFIB,Normal,0.6514
AFIB,Normal,0.6568
AFIB,Normal,0.6129
AFIB,Normal,0.6211
AFIB,Normal,0.6529
AFIB,Normal,0.6409
AFIB,Normal,0.6044
AFIB,Normal,0.6022
AFIB,Normal,0.6128
AFIB,Normal,0.6048
AFIB,Normal,0.645
AFIB,Normal,0.6435
AFIB,Normal,0.6448
AFIB,Normal,0.6632
AFIB,Normal,0.5515
AFIB,Normal,0.5513
AFIB,Normal,0.635
AFIB,Normal,0.6464
AFIB,Normal,0.6178
AFIB,Normal,0.5553
AFIB,Normal,0.6652
AFIB,Normal,0.6636
AFIB,Normal,0.6271
AFIB,Normal,0.6301
AFIB,Normal,0.6437
AFIB,Normal,0.6404
AFIB,Normal,0.6487
AFIB,Normal,0.6471
AFIB,Normal,0.6345
AFIB,Normal,0.6402
AFIB,Normal,0.6483
AFIB,Normal,0.6089
AFIB,Normal,0.5878
AFIB,Normal,0.6431
AFIB,Normal,0.6434
AFIB,Normal,0.6557
AFIB,Normal,0.659
AFIB,Normal,0.6442
AFIB,Normal,0.6693
AFIB,Normal,0.6643
AFIB,Normal,0.656
AFIB,Normal,0.612
AFIB,Normal,0.5861
AFIB,Normal,0.59
AFIB,Normal,0.6337
AFIB,Normal,0.6064
AFIB,Normal,0.6274
AFIB,Normal,0.6435
AFIB,Normal,0.6602
AFIB,Normal,0.653
AFIB,Normal,0.6376
AFIB,Normal,0.6214
AFIB,Normal,0.6495
AFIB,Normal,0.6516
AFIB,Normal,0.6495
AFIB,Normal,0.6089
AFIB,Normal,0.6321
AFIB,Normal,0.623
AFIB,Normal,0.5986
AFIB,Normal,0.5972
AFIB,Normal,0.614
AFIB,Normal,0.6349
AFIB,Normal,0.6509
AFIB,Normal,0.6391
AFIB,Normal,0.6271
AFIB,Normal,0.6429
AFIB,Normal,0.6167
AFIB,Normal,0.5859
AFIB,Normal,0.621
AFIB,Normal,0.5993
AFIB,Normal,0.6072
AFIB,Normal,0.625
AFIB,Normal,0.6395
AFIB,Normal,0.6428
AFIB,Normal,0.6496
AFIB,Normal,0.5471
AFIB,Normal,0.5557
AFIB,Normal,0.6216
AFIB,Normal,0.618
AFIB,Normal,0.6462
AFIB,Normal,0.657
AFIB,Normal,0.6341
AFIB,Normal,0.6074
AFIB,Normal,0.6125
AFIB,Normal,0.6424
AFIB,Normal,0.6185
AFIB,Normal,0.6254
AFIB,Normal,0.6459
AFIB,Normal,0.6454
AFIB,Normal,0.6476
AFIB,Normal,0.6181
AFIB,Normal,0.5952
AFIB,Normal,0.6269
AFIB,Normal,0.6519
AFIB,Normal,0.6558
AFIB,Normal,0.6357
AFIB,Normal,0.6359
AFIB,Normal,0.6508
AFIB,Normal,0.6568
AFIB,Normal,0.6413
AFIB,Normal,0.6446
AFIB,Normal,0.6342
AFIB,Normal,0.6002
AFIB,Normal,0.5738
AFIB,Normal,0.6437
AFIB,Normal,0.6513
AFIB,Normal,0.6386
AFIB,Normal,0.6394
AFIB,Normal,0.6459
AFIB,Normal,0.653
AFIB,Normal,0.6361
AFIB,Normal,0.6529
AFIB,Normal,0.6547
AFIB,Normal,0.6218
AFIB,Normal,0.5866
AFIB,Normal,0.5685
AFIB,Normal,0.6476
AFIB,Normal,0.6373
AFIB,Normal,0.6308
AFIB,Normal,0.5819
AFIB,Normal,0.5819
AFIB,Normal,0.6441
AFIB,Normal,0.6405
AFIB,Normal,0.6466
AFIB,Normal,0.6386
AFIB,Normal,0.6434
AFIB,Normal,0.6536
AFIB,Normal,0.6451
AFIB,Normal,0.6416
AFIB,Normal,0.6466
AFIB,Normal,0.6414
AFIB,Normal,0.5664
AFIB,Normal,0.5894
AFIB,Normal,0.6444
AFIB,Normal,0.6298
AFIB,Normal,0.6461
AFIB,Normal,0.6599
AFIB,Normal,0.6519
AFIB,Normal,0.605
AFIB,Normal,0.6065
AFIB,Normal,0.6269
AFIB,Normal,0.6283
AFIB,Normal,0.6491
AFIB,Normal,0.6289
AFIB,Normal,0.6053
AFIB,Normal,0.5765
AFIB,Normal,0.5585
AFIB,Normal,0.5782
AFIB,Normal,0.6386
AFIB,Normal,0.6603
AFIB,Normal,0.6562
AFIB,Normal,0.5647
AFIB,Normal,0.6072
AFIB,Normal,0.666
AFIB,Normal,0.6367
AFIB,Normal,0.6358
AFIB,Normal,0.6332
AFIB,Normal,0.6374
AFIB,Normal,0.6435
AFIB,Normal,0.6596
AFIB,Normal,0.6704
AFIB,Normal,0.6334
AFIB,Normal,0.6042
AFIB,Normal,0.5993
AFIB,Normal,0.6373
AFIB,Normal,0.6259
AFIB,Normal,0.6394
AFIB,Normal,0.6311
AFIB,Normal,0.62
AFIB,Normal,0.6336
AFIB,Normal,0.6615
AFIB,Normal,0.6576
AFIB,Normal,0.6537
AFIB,Normal,0.6103
AFIB,Normal,0.5973
AFIB,Normal,0.5746
AFIB,Normal,0.6205
AFIB,Normal,0.6247
AFIB,Normal,0.6567
AFIB,Normal,0.6363
AFIB,Normal,0.6554
AFIB,Normal,0.6536
AFIB,Normal,0.6372
AFIB,Normal,0.6216
AFIB,Normal,0.6354
AFIB,Normal,0.6451
AFIB,Normal,0.6298
AFIB,Normal,0.6108
AFIB,Normal,0.6213
AFIB,Normal,0.6502
AFIB,Normal,0.6366
AFIB,Normal,0.615
AFIB,Normal,0.6086
AFIB,Normal,0.6128
AFIB,Normal,0.6392
AFIB,Normal,0.6286
AFIB,Normal,0.6575
AFIB,Normal,0.6655
AFIB,Normal,0.6261
AFIB,Normal,0.6088
AFIB,Normal,0.6621
AFIB,Normal,0.6471
AFIB,Normal,0.6526
AFIB,Normal,0.6637
AFIB,Normal,0.5839
AFIB,Normal,0.5959
AFIB,Normal,0.6308
AFIB,Normal,0.5877
AFIB,Normal,0.5941
AFIB,Normal,0.6422
AFIB,Normal,0.5951
AFIB,Normal,0.6171
AFIB,Normal,0.6663
AFIB,Normal,0.6324
AFIB,Normal,0.6062
AFIB,Normal,0.6299
AFIB,Normal,0.6488
AFIB,Normal,0.6363
AFIB,Normal,0.6381
AFIB,Normal,0.6461
AFIB,Normal,0.653
AFIB,Normal,0.6578
AFIB,Normal,0.6436
AFIB,Normal,0.6117
AFIB,Normal,0.6539
AFIB,Normal,0.6715
AFIB,Normal,0.6429
AFIB,Normal,0.6316
AFIB,Normal,0.6511
AFIB,Normal,0.6419
AFIB,Normal,0.6386
AFIB,Normal,0.6452
AFIB,Normal,0.6304
AFIB,Normal,0.6378
AFIB,Normal,0.6203
AFIB,Normal,0.6044
AFIB,Normal,0.6493
AFIB,Normal,0.6457
AFIB,Normal,0.6372
AFIB,Normal,0.657
AFIB,Normal,0.664
AFIB,Normal,0.6398
AFIB,Normal,0.6412
AFIB,Normal,0.6445
AFIB,Normal,0.6425
AFIB,Normal,0.6453
AFIB,Normal,0.6323
AFIB,Normal,0.6074
AFIB,Normal,0.6425
AFIB,Normal,0.6603
AFIB,Normal,0.5633
AFIB,Normal,0.5749
AFIB,Normal,0.6468
AFIB,Normal,0.631
AFIB,Normal,0.6118
AFIB,Normal,0.6035
AFIB,Normal,0.6426
AFIB,Normal,0.6624
AFIB,Normal,0.6465
AFIB,Normal,0.5928
AFIB,Normal,0.6369
AFIB,Normal,0.6519
AFIB,Normal,0.649
AFIB,Normal,0.6515
AFIB,Normal,0.6526
AFIB,Normal,0.6203
AFIB,Normal,0.6032
AFIB,Normal,0.6242
AFIB,Normal,0.6546
AFIB,Normal,0.6578
AFIB,Normal,0.6136
AFIB,Normal,0.6058
AFIB,Normal,0.6126
AFIB,Normal,0.5935
AFIB,Normal,0.6237
AFIB,Normal,0.5979
AFIB,Normal,0.6067
AFIB,Normal,0.6244
AFIB,Normal,0.6238
AFIB,Normal,0.6446
AFIB,Normal,0.6437
AFIB,Normal,0.6468
AFIB,Normal,0.6337
AFIB,Normal,0.5853
AFIB,Normal,0.6244
AFIB,Normal,0.6484
AFIB,Normal,0.665
AFIB,Normal,0.6559
AFIB,Normal,0.6698
AFIB,Normal,0.6388
AFIB,Normal,0.6426
AFIB,Normal,0.658
AFIB,Normal,0.6506
AFIB,Normal,0.6617
AFIB,Normal,0.6152
AFIB,Normal,0.5956
AFIB,Normal,0.6392
AFIB,Normal,0.6512
AFIB,Normal,0.6271
AFIB,Normal,0.6059
AFIB,Normal,0.6022
AFIB,Normal,0.6283
AFIB,Normal,0.6422
AFIB,Normal,0.6638
AFIB,Normal,0.6056
AFIB,Normal,0.5876
